s002,0.2416,0.1224,0.1522,0.0677,0.1559,0.0685,0.9214,0.8339,1.0385,0.9467,0.5316,0.405,0.1714,0.0678,0.1593,0.0214,0.2479,0.1534,0.2957,0.198
s003,0.3034,0.1806,0.2545,0.141,0.2988,0.1844,0.5691,0.4488,0.6514,0.5606,0.2604,0.1436,0.1882,0.057,0.1708,0.0541,0.2224,0.1352,0.2894,0.1846
s004,0.3141,0.209,0.1474,0.0646,0.1458,0.0487,0.7809,0.7083,0.7939,0.7185,0.2212,0.1096,0.1387,0.052,0.1452,0.0387,0.2412,0.1592,0.3132,0.2163
s005,0.5873,0.5063,0.3277,0.2018,0.3222,0.2311,0.6484,0.5227,0.9775,0.8673,0.5064,0.3759,0.3639,0.2694,0.3332,0.1888,0.525,0.4564,0.5273,0.4453
s007,0.3398,0.2538,0.1317,0.0685,0.1975,0.1111,0.5081,0.4178,0.4723,0.4091,0.2565,0.1887,0.1671,0.0818,0.2088,0.1157,0.2176,0.1129,0.5385,0.4465
s008,0.4007,0.2814,0.1273,0.0328,0.1507,0.0631,0.5419,0.4487,0.3962,0.3115,0.1902,0.091,0.0922,-0.002,0.157,0.038,0.2696,0.1823,0.2863,0.2054
s010,0.199,0.1052,0.1776,0.1114,0.1656,0.0876,0.3839,0.3211,0.3967,0.3216,0.157,0.0893,0.1622,0.0803,0.1313,0.0721,0.2472,0.1692,0.3235,0.2408
s011,0.2105,0.1166,0.1694,0.0729,0.2999,0.2016,0.5655,0.4652,0.5384,0.4543,0.2281,0.1134,0.1632,0.0818,0.163,0.0195,0.1703,0.0685,0.4216,0.3251
s012,0.5149,0.3367,0.1925,0.0643,0.1968,0.0439,0.7808,0.6396,0.5199,0.3978,0.2798,0.142,0.1848,0.0459,0.2476,0.1091,0.3568,0.2338,0.4901,0.3287
s013,0.3146,0.2336,0.1109,0.0463,0.1536,0.073,0.5223,0.4653,0.4392,0.367,0.1235,0.05,0.0966,0.0184,0.1279,0.0454,0.2188,0.1488,0.2562,0.1883
s015,0.2484,0.1532,0.0983,0.0246,0.0936,0.0189,0.5062,0.4375,0.5213,0.4606,0.3918,0.315,0.1828,0.0899,0.148,0.0762,0.1945,0.1078,0.2348,0.1561
